Community,Location,Frequency,Period
C61,COMMERCIAL / BUSINESS OFFICE,15,Day
C49,HOSPITAL BUILDING/GROUNDS,24,Day
C4,RESIDENCE,191,Day
C39,RESTAURANT,12,Day
C52,BOAT/WATERCRAFT,2,Day
C46,BANK,11,Day
C73,SIDEWALK,111,Day
C53,CLEANING STORE,1,Day
C21,COMMERCIAL / BUSINESS OFFICE,8,Day
C4,STREET,247,Day
C60,ALLEY,27,Day
C24,NURSING HOME/RETIREMENT HOME,11,Day
C2,ATM (AUTOMATIC TELLER MACHINE),13,Day
C44,VESTIBULE,1,Day
C55,ATHLETIC CLUB,4,Day
C11,CTA STATION,15,Day
C59,RESTAURANT,10,Day
C29,GAS STATION,126,Day
C52,MEDICAL/DENTAL OFFICE,2,Day
C38,CHA APARTMENT,21,Day
C69,GAS STATION,156,Day
C63,DEPARTMENT STORE,23,Day
C15,ATHLETIC CLUB,7,Day
C66,AUTO,3,Day
C6,APARTMENT,380,Day
C13,SIDEWALK,22,Day
C71,APPLIANCE STORE,5,Day
C22,RESIDENCE,391,Day
C75,ATHLETIC CLUB,13,Day
C6,PARK PROPERTY,20,Day
C69,ALLEY,77,Day
C2,ALLEY,58,Day
C57,HOTEL/MOTEL,2,Day
C38,VEHICLE NON-COMMERCIAL,39,Day
C47,RESIDENCE PORCH/HALLWAY,5,Day
C56,"SCHOOL, PUBLIC, BUILDING",49,Day
C22,MOVIE HOUSE/THEATER,5,Day
C76,RESIDENCE,71,Day
C31,CAR WASH,1,Day
C34,GROCERY FOOD STORE,5,Day
C5,DEPARTMENT STORE,10,Day
C58,LIBRARY,1,Day
C28,"SCHOOL, PRIVATE, BUILDING",12,Day
C42,HIGHWAY/EXPRESSWAY,1,Day
C32,SPORTS ARENA/STADIUM,4,Day
C18,WAREHOUSE,1,Day
C15,TAVERN/LIQUOR STORE,4,Day
C13,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1,Day
C31,CONVENIENCE STORE,8,Day
C43,BARBERSHOP,5,Day
C72,CTA BUS,1,Day
C14,CTA GARAGE / OTHER PROPERTY,2,Day
C29,FIRE STATION,2,Day
C58,OTHER,76,Day
C67,DRUG STORE,1,Day
C24,APARTMENT,539,Day
C23,DRIVEWAY - RESIDENTIAL,12,Day
C10,RESTAURANT,9,Day
C39,CHA HALLWAY/STAIRWELL/ELEVATOR,2,Day
C63,DRIVEWAY - RESIDENTIAL,2,Day
C65,POOL ROOM,1,Day
C42,STREET,468,Day
C24,PARK PROPERTY,68,Day
C75,TAVERN/LIQUOR STORE,4,Day
C6,OTHER,248,Day
C26,CTA PLATFORM,35,Day
C29,ATM (AUTOMATIC TELLER MACHINE),3,Day
C30,RESTAURANT,35,Day
C25,POOL ROOM,1,Day
C27,CTA BUS,19,Day
C69,HOSPITAL BUILDING/GROUNDS,1,Day
C7,FACTORY/MANUFACTURING BUILDING,2,Day
C40,GAS STATION,36,Day
C23,DEPARTMENT STORE,50,Day
C53,PARKING LOT/GARAGE(NON.RESID.),48,Day
C72,ABANDONED BUILDING,1,Day
C32,COLLEGE/UNIVERSITY RESIDENCE HALL,7,Day
C34,CTA GARAGE / OTHER PROPERTY,1,Day
C18,SMALL RETAIL STORE,13,Day
C61,VEHICLE-COMMERCIAL,4,Day
C70,"SCHOOL, PRIVATE, GROUNDS",4,Day
C1,LAKEFRONT/WATERFRONT/RIVERBANK,2,Day
C53,SIDEWALK,169,Day
C66,BANK,11,Day
C71,BAR OR TAVERN,5,Day
C33,RESIDENCE PORCH/HALLWAY,23,Day
C45,CURRENCY EXCHANGE,1,Day
C40,ALLEY,30,Day
C73,RESIDENCE PORCH/HALLWAY,34,Day
C37,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Day
C48,RESIDENCE-GARAGE,27,Day
C32,MEDICAL/DENTAL OFFICE,15,Day
C68,CTA TRAIN,15,Day
C49,GAS STATION,92,Day
C31,BAR OR TAVERN,4,Day
C73,PARKING LOT/GARAGE(NON.RESID.),59,Day
C4,GOVERNMENT BUILDING/PROPERTY,1,Day
C61,RESIDENTIAL YARD (FRONT/BACK),74,Day
C60,ATM (AUTOMATIC TELLER MACHINE),7,Day
C54,"SCHOOL, PRIVATE, BUILDING",4,Day
C10,"SCHOOL, PRIVATE, GROUNDS",3,Day
C68,"SCHOOL, PRIVATE, BUILDING",18,Day
C3,VEHICLE-COMMERCIAL,2,Day
C16,"SCHOOL, PUBLIC, BUILDING",51,Day
C58,WAREHOUSE,6,Day
C1,CTA TRAIN,52,Day
C71,CONVENIENCE STORE,45,Day
C51,CAR WASH,1,Day
C66,MEDICAL/DENTAL OFFICE,2,Day
C65,APPLIANCE STORE,1,Day
C8,BANK,56,Day
C42,RESIDENCE,385,Day
C27,RESIDENCE PORCH/HALLWAY,60,Day
C18,VEHICLE NON-COMMERCIAL,1,Day
C7,CONSTRUCTION SITE,10,Day
C77,"SCHOOL, PUBLIC, GROUNDS",11,Day
C14,GROCERY FOOD STORE,22,Day
C61,VACANT LOT/LAND,7,Day
C18,OTHER,17,Day
C65,COIN OPERATED MACHINE,3,Day
C32,SMALL RETAIL STORE,737,Day
C65,CTA BUS STOP,5,Day
C62,CTA TRAIN,13,Day
C35,ABANDONED BUILDING,5,Day
C51,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Day
C62,RESIDENCE-GARAGE,28,Day
C12,VEHICLE NON-COMMERCIAL,6,Day
C16,SIDEWALK,99,Day
C63,GAS STATION,11,Day
C76,RESIDENCE-GARAGE,4,Day
C75,POLICE FACILITY/VEH PARKING LOT,10,Day
C70,"SCHOOL, PUBLIC, BUILDING",84,Day
C35,BOAT/WATERCRAFT,1,Day
C20,MEDICAL/DENTAL OFFICE,1,Day
C60,AUTO,1,Day
C8,BARBERSHOP,7,Day
C48,CURRENCY EXCHANGE,1,Day
C30,"SCHOOL, PUBLIC, BUILDING",56,Day
C6,VEHICLE-COMMERCIAL,3,Day
C19,"SCHOOL, PUBLIC, BUILDING",65,Day
C58,VEHICLE-COMMERCIAL,3,Day
C27,DAY CARE CENTER,2,Day
C4,CTA TRAIN,3,Day
C67,"SCHOOL, PRIVATE, GROUNDS",3,Day
C8,DEPARTMENT STORE,1029,Day
C32,VEHICLE - OTHER RIDE SERVICE,6,Day
C37,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C46,WAREHOUSE,1,Day
C28,FACTORY/MANUFACTURING BUILDING,3,Day
C32,VEHICLE NON-COMMERCIAL,35,Day
C46,LIBRARY,3,Day
C70,RESIDENCE,544,Day
C4,RESIDENCE-GARAGE,33,Day
C37,ALLEY,6,Day
C30,JAIL / LOCK-UP FACILITY,22,Day
C67,TAXICAB,2,Day
C27,"SCHOOL, PRIVATE, GROUNDS",5,Day
C5,GAS STATION,5,Day
C29,MEDICAL/DENTAL OFFICE,3,Day
C32,OTHER,728,Day
C54,CAR WASH,1,Day
C69,MEDICAL/DENTAL OFFICE,1,Day
C1,CURRENCY EXCHANGE,6,Day
C52,PARK PROPERTY,11,Day
C1,APPLIANCE STORE,5,Day
C58,RESIDENTIAL YARD (FRONT/BACK),32,Day
C15,SPORTS ARENA/STADIUM,1,Day
C57,ATM (AUTOMATIC TELLER MACHINE),3,Day
C12,WAREHOUSE,2,Day
C29,SPORTS ARENA/STADIUM,3,Day
C61,DRUG STORE,21,Day
C24,VACANT LOT/LAND,5,Day
C55,CTA BUS,1,Day
C69,SPORTS ARENA/STADIUM,1,Day
C44,CREDIT UNION,2,Day
C17,GROCERY FOOD STORE,4,Day
C56,CLEANING STORE,2,Day
C68,CONVENIENCE STORE,33,Day
C73,RESTAURANT,23,Day
C62,CTA GARAGE / OTHER PROPERTY,20,Day
C43,HOSPITAL BUILDING/GROUNDS,23,Day
C14,CTA STATION,3,Day
C46,SMALL RETAIL STORE,56,Day
C46,DRIVEWAY - RESIDENTIAL,8,Day
C72,APARTMENT,27,Day
C15,CTA BUS,4,Day
C40,BANK,1,Day
C3,CTA BUS,13,Day
C65,STREET,253,Day
C24,VEHICLE-COMMERCIAL,7,Day
C49,ABANDONED BUILDING,12,Day
C77,ATM (AUTOMATIC TELLER MACHINE),10,Day
C45,GOVERNMENT BUILDING/PROPERTY,1,Day
C65,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Day
C34,CONVENIENCE STORE,4,Day
C75,CTA BUS,1,Day
C12,SMALL RETAIL STORE,2,Day
C58,COMMERCIAL / BUSINESS OFFICE,6,Day
C45,CTA BUS STOP,1,Day
C2,PAWN SHOP,1,Day
C3,DRUG STORE,10,Day
C28,CONSTRUCTION SITE,54,Day
C8,WAREHOUSE,7,Day
C34,CTA STATION,12,Day
C66,SMALL RETAIL STORE,93,Day
C42,CTA TRAIN,3,Day
C36,LAKEFRONT/WATERFRONT/RIVERBANK,1,Day
C4,CTA GARAGE / OTHER PROPERTY,1,Day
C8,LIBRARY,8,Day
C49,BANK,6,Day
C60,VEHICLE - DELIVERY TRUCK,1,Day
C42,RESIDENCE-GARAGE,19,Day
C7,STREET,895,Day
C52,DAY CARE CENTER,1,Day
C27,NURSING HOME/RETIREMENT HOME,5,Day
C77,ALLEY,33,Day
C65,HOTEL/MOTEL,1,Day
C64,"SCHOOL, PUBLIC, BUILDING",6,Day
C14,CAR WASH,3,Day
C72,OTHER,33,Day
C28,CURRENCY EXCHANGE,23,Day
C68,BAR OR TAVERN,2,Day
C1,BAR OR TAVERN,6,Day
C11,"SCHOOL, PUBLIC, GROUNDS",3,Day
C55,SPORTS ARENA/STADIUM,1,Day
C66,LIBRARY,1,Day
C51,"SCHOOL, PUBLIC, GROUNDS",4,Day
C64,VACANT LOT/LAND,1,Day
C26,WAREHOUSE,3,Day
C72,SMALL RETAIL STORE,17,Day
C22,CTA GARAGE / OTHER PROPERTY,2,Day
C33,RESTAURANT,57,Day
C26,LIBRARY,6,Day
C17,ALLEY,24,Day
C32,APARTMENT,108,Day
C66,VEHICLE - OTHER RIDE SERVICE,1,Day
C5,ALLEY,6,Day
C39,RESIDENCE,165,Day
C7,GOVERNMENT BUILDING/PROPERTY,1,Day
C12,OTHER,17,Day
C25,CTA BUS STOP,26,Day
C23,ATM (AUTOMATIC TELLER MACHINE),5,Day
C32,PARK PROPERTY,285,Day
C38,RESIDENTIAL YARD (FRONT/BACK),40,Day
C34,CTA PLATFORM,8,Day
C32,CHA APARTMENT,1,Day
C72,PARK PROPERTY,6,Day
C53,RIVER BANK,1,Day
C4,"SCHOOL, PRIVATE, BUILDING",10,Day
C42,CHA PARKING LOT/GROUNDS,1,Day
C35,CTA BUS,13,Day
C25,STREET,2433,Day
C49,SPORTS ARENA/STADIUM,1,Day
C22,RESIDENCE-GARAGE,92,Day
C68,CONSTRUCTION SITE,4,Day
C42,CTA GARAGE / OTHER PROPERTY,1,Day
C48,CONVENIENCE STORE,4,Day
C23,HOSPITAL BUILDING/GROUNDS,3,Day
C45,STREET,169,Day
C8,VEHICLE - OTHER RIDE SERVICE,8,Day
C46,DEPARTMENT STORE,7,Day
C61,SIDEWALK,263,Day
C29,ABANDONED BUILDING,28,Day
C23,ALLEY,187,Day
C31,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7,Day
C41,RESIDENCE PORCH/HALLWAY,35,Day
C25,GOVERNMENT BUILDING/PROPERTY,3,Day
C69,ABANDONED BUILDING,9,Day
C69,HOUSE,1,Day
C67,NURSING HOME/RETIREMENT HOME,2,Day
C72,VEHICLE NON-COMMERCIAL,12,Day
C45,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Day
C65,GOVERNMENT BUILDING/PROPERTY,1,Day
C56,RESIDENCE-GARAGE,53,Day
C38,COMMERCIAL / BUSINESS OFFICE,9,Day
C56,PARKING LOT/GARAGE(NON.RESID.),83,Day
C40,AUTO,1,Day
C44,RESIDENTIAL YARD (FRONT/BACK),61,Day
C28,BAR OR TAVERN,21,Day
C22,CTA TRAIN,21,Day
C16,PARKING LOT/GARAGE(NON.RESID.),52,Day
C12,FOREST PRESERVE,2,Day
C22,"SCHOOL, PRIVATE, BUILDING",7,Day
C43,ALLEY,98,Day
C6,COMMERCIAL / BUSINESS OFFICE,33,Day
C50,RESIDENCE,156,Day
C21,AUTO / BOAT / RV DEALERSHIP,1,Day
C23,FIRE STATION,1,Day
C14,CONVENIENCE STORE,11,Day
C64,RESIDENTIAL YARD (FRONT/BACK),23,Day
C49,AUTO,2,Day
C33,CHA HALLWAY/STAIRWELL/ELEVATOR,9,Day
C35,SPORTS ARENA/STADIUM,2,Day
C1,STAIRWELL,1,Day
C31,"SCHOOL, PUBLIC, GROUNDS",17,Day
C58,TAVERN/LIQUOR STORE,1,Day
C52,SMALL RETAIL STORE,5,Day
C13,RESTAURANT,18,Day
C71,BARBERSHOP,4,Day
C1,FACTORY/MANUFACTURING BUILDING,1,Day
C27,CHA HALLWAY/STAIRWELL/ELEVATOR,14,Day
C23,GAS STATION,68,Day
C53,RESTAURANT,8,Day
C52,APARTMENT,60,Day
C59,RESIDENCE,113,Day
C17,ATM (AUTOMATIC TELLER MACHINE),2,Day
C14,CTA PLATFORM,2,Day
C24,COMMERCIAL / BUSINESS OFFICE,42,Day
C6,RESIDENTIAL YARD (FRONT/BACK),41,Day
C71,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13,Day
C5,ATM (AUTOMATIC TELLER MACHINE),3,Day
C32,COLLEGE/UNIVERSITY GROUNDS,42,Day
C43,GAS STATION,118,Day
C62,CHA PARKING LOT/GROUNDS,2,Day
C36,SIDEWALK,24,Day
C67,OTHER COMMERCIAL TRANSPORTATION,1,Day
C26,BARBERSHOP,9,Day
C66,DEPARTMENT STORE,17,Day
C16,CLEANING STORE,2,Day
C25,COIN OPERATED MACHINE,1,Day
C68,CTA STATION,17,Day
C28,CONVENIENCE STORE,53,Day
C10,"SCHOOL, PUBLIC, BUILDING",39,Day
C38,VEHICLE-COMMERCIAL,4,Day
C50,"SCHOOL, PUBLIC, BUILDING",36,Day
C5,HOSPITAL BUILDING/GROUNDS,1,Day
C26,DEPARTMENT STORE,14,Day
C9,APARTMENT,14,Day
C27,TAXICAB,1,Day
C8,DRIVEWAY - RESIDENTIAL,7,Day
C52,FOREST PRESERVE,1,Day
C2,BANK,14,Day
C29,BANK,2,Day
C29,AUTO,2,Day
C11,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3,Day
C21,RESIDENCE PORCH/HALLWAY,28,Day
C47,NURSING HOME/RETIREMENT HOME,1,Day
C73,CURRENCY EXCHANGE,2,Day
C61,RESIDENCE PORCH/HALLWAY,54,Day
C52,VEHICLE NON-COMMERCIAL,13,Day
C35,POLICE FACILITY/VEH PARKING LOT,20,Day
C63,ATHLETIC CLUB,10,Day
C36,PARKING LOT/GARAGE(NON.RESID.),9,Day
C57,ALLEY,16,Day
C60,MEDICAL/DENTAL OFFICE,1,Day
C21,DRUG STORE,17,Day
C24,RESIDENTIAL YARD (FRONT/BACK),116,Day
C44,"SCHOOL, PUBLIC, BUILDING",51,Day
C12,VEHICLE - OTHER RIDE SERVICE,1,Day
C49,MEDICAL/DENTAL OFFICE,9,Day
C52,OTHER,23,Day
C7,CTA BUS STOP,3,Day
C42,"SCHOOL, PRIVATE, BUILDING",5,Day
C48,BAR OR TAVERN,3,Day
C71,"SCHOOL, PUBLIC, GROUNDS",24,Day
C32,LIBRARY,73,Day
C44,VACANT LOT/LAND,13,Day
C14,PAWN SHOP,1,Day
C37,GROCERY FOOD STORE,1,Day
C30,RESIDENCE,477,Day
C66,DRIVEWAY - RESIDENTIAL,6,Day
C19,RESIDENCE,703,Day
C3,RESIDENCE PORCH/HALLWAY,70,Day
C41,DRUG STORE,22,Day
C60,BANK,11,Day
C77,HOSPITAL BUILDING/GROUNDS,2,Day
C40,CTA PLATFORM,1,Day
C57,GROCERY FOOD STORE,8,Day
C28,APPLIANCE STORE,3,Day
C2,MEDICAL/DENTAL OFFICE,3,Day
C26,DRIVEWAY - RESIDENTIAL,6,Day
C22,CHA PARKING LOT/GROUNDS,1,Day
C27,OTHER COMMERCIAL TRANSPORTATION,1,Day
C38,TAVERN/LIQUOR STORE,3,Day
C39,HIGHWAY/EXPRESSWAY,1,Day
C1,STREET,269,Night
C1,APARTMENT,249,Night
C1,RESIDENCE,119,Night
C1,SIDEWALK,86,Night
C1,CTA TRAIN,65,Night
C1,OTHER,47,Night
C1,ALLEY,42,Night
C1,BAR OR TAVERN,33,Night
C1,RESIDENCE PORCH/HALLWAY,30,Night
C1,PARKING LOT/GARAGE(NON.RESID.),30,Night
C1,RESIDENTIAL YARD (FRONT/BACK),22,Night
C1,VEHICLE NON-COMMERCIAL,16,Night
C1,RESIDENCE-GARAGE,16,Night
C1,SMALL RETAIL STORE,15,Night
C1,RESTAURANT,13,Night
C1,CTA GARAGE / OTHER PROPERTY,12,Night
C1,GROCERY FOOD STORE,12,Night
C1,NURSING HOME/RETIREMENT HOME,11,Night
C1,CTA STATION,11,Night
C1,CTA PLATFORM,9,Night
C1,PARK PROPERTY,8,Night
C1,GAS STATION,7,Night
C1,TAXICAB,6,Night
C1,CONVENIENCE STORE,5,Night
C1,ATM (AUTOMATIC TELLER MACHINE),5,Night
C1,TAVERN/LIQUOR STORE,5,Night
C1,CTA BUS STOP,4,Night
C1,COLLEGE/UNIVERSITY GROUNDS,3,Night
C1,VEHICLE-COMMERCIAL,3,Night
C1,DRUG STORE,3,Night
C1,COMMERCIAL / BUSINESS OFFICE,2,Night
C1,"SCHOOL, PRIVATE, BUILDING",2,Night
C1,HOTEL/MOTEL,2,Night
C1,VEHICLE - OTHER RIDE SERVICE,2,Night
C1,CTA BUS,1,Night
C1,POLICE FACILITY/VEH PARKING LOT,1,Night
C1,SPORTS ARENA/STADIUM,1,Night
C1,VACANT LOT/LAND,1,Night
C1,CTA TRACKS - RIGHT OF WAY,1,Night
C1,"SCHOOL, PRIVATE, GROUNDS",1,Night
C1,STAIRWELL,1,Night
C1,CAR WASH,1,Night
C1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Night
C1,OTHER RAILROAD PROP / TRAIN DEPOT,1,Night
C1,BANK,1,Night
C1,ATHLETIC CLUB,1,Night
C10,STREET,87,Night
C10,RESIDENCE,74,Night
C10,APARTMENT,19,Night
C10,OTHER,12,Night
C10,RESIDENTIAL YARD (FRONT/BACK),12,Night
C10,SIDEWALK,12,Night
C10,RESIDENCE-GARAGE,12,Night
C10,RESTAURANT,11,Night
C10,PARKING LOT/GARAGE(NON.RESID.),10,Night
C10,HOTEL/MOTEL,7,Night
C10,BAR OR TAVERN,6,Night
C10,ALLEY,6,Night
C10,DRIVEWAY - RESIDENTIAL,5,Night
C10,VEHICLE NON-COMMERCIAL,5,Night
C10,GAS STATION,4,Night
C10,SMALL RETAIL STORE,4,Night
C10,HOSPITAL BUILDING/GROUNDS,3,Night
C10,DRUG STORE,2,Night
C10,NURSING HOME/RETIREMENT HOME,2,Night
C10,CTA TRAIN,2,Night
C10,CONVENIENCE STORE,2,Night
C10,CTA STATION,2,Night
C10,WAREHOUSE,1,Night
C10,ATHLETIC CLUB,1,Night
C10,PARK PROPERTY,1,Night
C10,COMMERCIAL / BUSINESS OFFICE,1,Night
C10,VEHICLE-COMMERCIAL,1,Night
C10,RESIDENCE PORCH/HALLWAY,1,Night
C10,HIGHWAY/EXPRESSWAY,1,Night
C10,"SCHOOL, PUBLIC, BUILDING",1,Night
C10,"SCHOOL, PUBLIC, GROUNDS",1,Night
C10,ATM (AUTOMATIC TELLER MACHINE),1,Night
C10,GROCERY FOOD STORE,1,Night
C10,CTA PLATFORM,1,Night
C11,STREET,91,Night
C11,RESIDENCE,52,Night
C11,APARTMENT,20,Night
C11,OTHER,13,Night
C11,ALLEY,12,Night
C11,SIDEWALK,11,Night
C11,RESIDENCE-GARAGE,11,Night
C11,CONVENIENCE STORE,11,Night
C11,SMALL RETAIL STORE,7,Night
C11,VEHICLE NON-COMMERCIAL,6,Night
C11,RESIDENTIAL YARD (FRONT/BACK),6,Night
C11,POLICE FACILITY/VEH PARKING LOT,5,Night
C11,RESTAURANT,4,Night
C11,CTA BUS STOP,4,Night
C11,COMMERCIAL / BUSINESS OFFICE,4,Night
C11,PARKING LOT/GARAGE(NON.RESID.),3,Night
C11,BAR OR TAVERN,3,Night
C11,DRIVEWAY - RESIDENTIAL,3,Night
C11,RESIDENCE PORCH/HALLWAY,2,Night
C11,CTA GARAGE / OTHER PROPERTY,2,Night
C11,CTA STATION,2,Night
C11,BANK,2,Night
C11,TAVERN/LIQUOR STORE,2,Night
C11,PARK PROPERTY,1,Night
C11,CTA TRAIN,1,Night
C11,OTHER RAILROAD PROP / TRAIN DEPOT,1,Night
C11,ATM (AUTOMATIC TELLER MACHINE),1,Night
C11,CTA PLATFORM,1,Night
C11,GAS STATION,1,Night
C11,MEDICAL/DENTAL OFFICE,1,Night
C11,YARD,1,Night
C11,DRUG STORE,1,Night
C12,STREET,66,Night
C12,RESIDENCE,33,Night
C12,APARTMENT,10,Night
C12,RESIDENCE-GARAGE,10,Night
C12,DRIVEWAY - RESIDENTIAL,8,Night
C12,VEHICLE NON-COMMERCIAL,5,Night
C12,OTHER,4,Night
C12,RESIDENTIAL YARD (FRONT/BACK),4,Night
C12,SIDEWALK,4,Night
C12,PARKING LOT/GARAGE(NON.RESID.),4,Night
C12,HOTEL/MOTEL,3,Night
C12,SMALL RETAIL STORE,3,Night
C12,GAS STATION,2,Night
C12,ALLEY,2,Night
C12,COMMERCIAL / BUSINESS OFFICE,2,Night
C12,PARK PROPERTY,2,Night
C12,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Night
C12,GROCERY FOOD STORE,1,Night
C12,BANK,1,Night
C12,TAVERN/LIQUOR STORE,1,Night
C12,"SCHOOL, PUBLIC, BUILDING",1,Night
C12,RESIDENCE PORCH/HALLWAY,1,Night
C12,RESTAURANT,1,Night
C12,"SCHOOL, PRIVATE, GROUNDS",1,Night
C13,STREET,106,Night
C13,APARTMENT,30,Night
C13,SIDEWALK,15,Night
C13,RESIDENCE,15,Night
C13,PARKING LOT/GARAGE(NON.RESID.),9,Night
C13,SMALL RETAIL STORE,8,Night
C13,OTHER,8,Night
C13,ALLEY,8,Night
C13,HOTEL/MOTEL,7,Night
C13,VEHICLE NON-COMMERCIAL,6,Night
C13,RESIDENCE-GARAGE,6,Night
C13,DRIVEWAY - RESIDENTIAL,4,Night
C13,RESTAURANT,4,Night
C13,COMMERCIAL / BUSINESS OFFICE,3,Night
C13,GROCERY FOOD STORE,3,Night
C13,BANK,2,Night
C13,BAR OR TAVERN,2,Night
C13,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Night
C13,CONVENIENCE STORE,2,Night
C13,DEPARTMENT STORE,1,Night
C13,TAVERN/LIQUOR STORE,1,Night
C13,COLLEGE/UNIVERSITY RESIDENCE HALL,1,Night
C13,CTA BUS,1,Night
C13,COLLEGE/UNIVERSITY GROUNDS,1,Night
C13,PARK PROPERTY,1,Night
C13,RESIDENCE PORCH/HALLWAY,1,Night
C13,TAXICAB,1,Night
C13,OTHER COMMERCIAL TRANSPORTATION,1,Night
C13,CEMETARY,1,Night
C13,APPLIANCE STORE,1,Night
C13,"SCHOOL, PRIVATE, BUILDING",1,Night
C14,STREET,255,Night
C14,APARTMENT,105,Night
C14,RESIDENCE,79,Night
C14,SIDEWALK,72,Night
C14,VEHICLE NON-COMMERCIAL,36,Night
C14,ALLEY,28,Night
C14,RESIDENCE-GARAGE,22,Night
C14,RESTAURANT,21,Night
C14,RESIDENTIAL YARD (FRONT/BACK),20,Night
C14,PARKING LOT/GARAGE(NON.RESID.),18,Night
C14,OTHER,18,Night
C14,RESIDENCE PORCH/HALLWAY,14,Night
C14,CTA TRAIN,13,Night
C14,CONVENIENCE STORE,9,Night
C14,SMALL RETAIL STORE,6,Night
C14,NURSING HOME/RETIREMENT HOME,5,Night
C14,CTA GARAGE / OTHER PROPERTY,5,Night
C14,DRIVEWAY - RESIDENTIAL,5,Night
C14,GROCERY FOOD STORE,3,Night
C14,CTA STATION,3,Night
C14,BAR OR TAVERN,3,Night
C14,PARK PROPERTY,3,Night
C14,COMMERCIAL / BUSINESS OFFICE,3,Night
C14,DRUG STORE,2,Night
C14,TAXICAB,2,Night
C14,CTA PLATFORM,2,Night
C14,VEHICLE - OTHER RIDE SERVICE,2,Night
C14,"SCHOOL, PUBLIC, BUILDING",1,Night
C14,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Night
C14,TAVERN/LIQUOR STORE,1,Night
C14,GAS STATION,1,Night
C14,SPORTS ARENA/STADIUM,1,Night
C14,CHA APARTMENT,1,Night
C14,VEHICLE-COMMERCIAL,1,Night
C15,STREET,312,Night
C15,RESIDENCE,213,Night
C15,APARTMENT,109,Night
C15,SIDEWALK,58,Night
C15,RESIDENCE-GARAGE,43,Night
C15,PARKING LOT/GARAGE(NON.RESID.),33,Night
C15,ALLEY,31,Night
C15,VEHICLE NON-COMMERCIAL,31,Night
C15,RESTAURANT,22,Night
C15,RESIDENTIAL YARD (FRONT/BACK),21,Night
C15,GROCERY FOOD STORE,14,Night
C15,SMALL RETAIL STORE,14,Night
C15,OTHER,13,Night
C15,CONVENIENCE STORE,12,Night
C15,BAR OR TAVERN,10,Night
C15,GAS STATION,9,Night
C15,COMMERCIAL / BUSINESS OFFICE,8,Night
C15,ATM (AUTOMATIC TELLER MACHINE),6,Night
C15,DRIVEWAY - RESIDENTIAL,6,Night
C15,RESIDENCE PORCH/HALLWAY,6,Night
C15,HOSPITAL BUILDING/GROUNDS,5,Night
C15,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3,Night
C15,DEPARTMENT STORE,3,Night
C15,PARK PROPERTY,3,Night
C15,TAXICAB,3,Night
C15,"SCHOOL, PRIVATE, BUILDING",2,Night
C15,CAR WASH,2,Night
C15,HOTEL/MOTEL,2,Night
C15,TAVERN/LIQUOR STORE,2,Night
C15,VEHICLE-COMMERCIAL,2,Night
C15,DRUG STORE,2,Night
C15,POOL ROOM,2,Night
C15,MOVIE HOUSE/THEATER,2,Night
C15,ANIMAL HOSPITAL,1,Night
C15,LIBRARY,1,Night
C15,BARBERSHOP,1,Night
C15,ATHLETIC CLUB,1,Night
C15,MEDICAL/DENTAL OFFICE,1,Night
C15,SPORTS ARENA/STADIUM,1,Night
C15,ABANDONED BUILDING,1,Night
C15,DAY CARE CENTER,1,Night
C15,VEHICLE - OTHER RIDE SERVICE,1,Night
C15,NURSING HOME/RETIREMENT HOME,1,Night
C15,"SCHOOL, PRIVATE, GROUNDS",1,Night
C15,"SCHOOL, PUBLIC, BUILDING",1,Night
C15,CLEANING STORE,1,Night
C15,AIRPORT/AIRCRAFT,1,Night
C15,CONSTRUCTION SITE,1,Night
C16,STREET,316,Night
C16,APARTMENT,125,Night
C16,RESIDENCE,108,Night
C16,SIDEWALK,71,Night
C16,VEHICLE NON-COMMERCIAL,43,Night
C16,RESIDENCE-GARAGE,39,Night
C16,OTHER,34,Night
C16,ALLEY,22,Night
C16,RESIDENTIAL YARD (FRONT/BACK),20,Night
C16,RESTAURANT,20,Night
C16,PARKING LOT/GARAGE(NON.RESID.),17,Night
C16,SMALL RETAIL STORE,15,Night
C16,BAR OR TAVERN,15,Night
C16,CONVENIENCE STORE,15,Night
C16,RESIDENCE PORCH/HALLWAY,11,Night
C16,GAS STATION,9,Night
C16,TAXICAB,8,Night
C16,TAVERN/LIQUOR STORE,6,Night
C16,COMMERCIAL / BUSINESS OFFICE,4,Night
C16,VEHICLE-COMMERCIAL,4,Night
C16,DRUG STORE,3,Night
C16,PARK PROPERTY,3,Night
C16,CURRENCY EXCHANGE,3,Night
C16,CTA TRAIN,3,Night
